epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6739,1.18492,1.44156,1.21445,0.69406,0.66675,0.76843,0.51083,1.25231,3.05324,1.55109,0.000550522,0.000550522,0.000550522
2,32.496,1.21355,1.13166,1.22177,0.41782,0.59395,0.43098,0.25557,nan,nan,nan,0.00109524,0.00109524,0.00109524
3,47.0974,1.19085,1.08108,1.21061,0.55749,0.42798,0.37141,0.24097,1.23223,3.40999,1.35403,0.00162895,0.00162895,0.00162895
4,61.6986,1.13065,0.98345,1.19123,0.68889,0.77183,0.82157,0.54609,1.26139,1.1912,1.33349,0.00161749,0.00161749,0.00161749
5,76.7065,1.14466,0.94843,1.17988,0.54137,0.5643,0.55982,0.37827,1.17192,1.76005,1.25946,0.00160099,0.00160099,0.00160099
6,91.5242,1.07067,0.88595,1.15719,0.7232,0.78611,0.81605,0.60801,0.9779,0.93691,1.12194,0.00158448,0.00158448,0.00158448
7,106.555,1.01241,0.84151,1.12993,0.7048,0.75399,0.7907,0.52485,1.20114,1.0848,1.24087,0.00156798,0.00156798,0.00156798
8,121.189,1.01062,0.79724,1.13154,0.71017,0.82803,0.83634,0.65097,0.88139,0.89608,1.06306,0.00155148,0.00155148,0.00155148
9,136.201,0.95776,0.77262,1.10551,0.83449,0.81122,0.88259,0.68515,0.92573,0.72786,1.08457,0.00153497,0.00153497,0.00153497
10,151.235,0.96123,0.76345,1.10666,0.82305,0.8617,0.90212,0.72789,0.7944,0.68472,1.02271,0.00151847,0.00151847,0.00151847
11,166.119,0.93702,0.72804,1.08546,0.84072,0.88946,0.95349,0.78993,0.84261,0.6392,1.04339,0.00150197,0.00150197,0.00150197
12,181.126,0.91559,0.70278,1.08525,0.8676,0.87287,0.93869,0.75463,0.82722,0.60963,1.02898,0.00148546,0.00148546,0.00148546
13,195.856,0.88991,0.68982,1.06872,0.88568,0.85534,0.93401,0.75209,0.82401,0.62618,1.0334,0.00146896,0.00146896,0.00146896
14,210.473,0.90725,0.67846,1.07931,0.87777,0.82853,0.90401,0.72537,0.84381,0.6611,1.03586,0.00145246,0.00145246,0.00145246
15,225.014,0.88189,0.68168,1.05977,0.77128,0.85512,0.91631,0.75685,0.7653,0.74648,0.99748,0.00143595,0.00143595,0.00143595
16,239.716,0.85751,0.64548,1.05874,0.88294,0.8614,0.94928,0.77337,0.82785,0.60755,1.05073,0.00141945,0.00141945,0.00141945
17,254.478,0.86984,0.64571,1.06047,0.72861,0.78323,0.80897,0.6365,0.84599,0.93194,1.042,0.00140295,0.00140295,0.00140295
18,269.266,0.88036,0.63867,1.06663,0.90192,0.90171,0.9588,0.75553,0.88455,0.57292,1.04851,0.00138644,0.00138644,0.00138644
19,284.04,0.85935,0.62711,1.05873,0.89482,0.88022,0.95604,0.77465,0.79694,0.55314,1.01853,0.00136994,0.00136994,0.00136994
20,298.809,0.85232,0.62212,1.05146,0.88797,0.89667,0.96587,0.78858,0.79818,0.55458,1.03765,0.00135344,0.00135344,0.00135344
21,313.692,0.84839,0.61028,1.05542,0.84722,0.91022,0.94722,0.77995,0.76672,0.56667,1.02408,0.00133693,0.00133693,0.00133693
22,328.322,0.8108,0.6001,1.03285,0.91825,0.90109,0.95792,0.7877,0.79202,0.52462,1.00713,0.00132043,0.00132043,0.00132043
23,343.015,0.80986,0.58237,1.02483,0.838,0.8649,0.94129,0.76616,0.76529,0.61122,0.98361,0.00130393,0.00130393,0.00130393
24,357.433,0.81419,0.58272,1.03128,0.87972,0.87866,0.94613,0.77518,0.80715,0.55794,0.9967,0.00128742,0.00128742,0.00128742
25,371.751,0.798,0.56789,1.02577,0.84271,0.90538,0.94011,0.77016,0.75503,0.5866,0.98485,0.00127092,0.00127092,0.00127092
26,386.405,0.79234,0.57716,1.02324,0.8832,0.93489,0.96827,0.79741,0.76901,0.48523,0.99923,0.00125442,0.00125442,0.00125442
27,401.384,0.79169,0.58347,1.02642,0.84349,0.84151,0.9118,0.72455,0.80621,0.67939,1.0207,0.00123791,0.00123791,0.00123791
28,415.938,0.78857,0.56164,1.02695,0.88584,0.92374,0.97017,0.80762,0.73374,0.49378,0.96474,0.00122141,0.00122141,0.00122141
29,430.914,0.76315,0.53257,1.01436,0.92388,0.9183,0.96938,0.81276,0.74666,0.48947,0.99822,0.00120491,0.00120491,0.00120491
